review_text,rating,date,year
"If I was blind tasting this dish alone it would be a five star experience no doubt! The chicken is unbelievably silky and the rice has delicious flavor. The hot sauce provided also really enhances the flavor profile and provides some lingering heat to make each bite fun.The reason it is not five stars is because of the little bit of service that was provided was a little rude to be frank. First the lady trying to take orders kept arguing with someone in the back every time she asked what I wanted so it took like 3 tries. Then upon turning over my ticket to get my order fulfilled, I tried to grab a tray and it was unceremoniously slapped down from my hands by the staff again. Ok, sure I guess I didn't really need one but that was also unnecessary to hit it down from me.Can't help but think popularity has gotten to their head a bit. They are the one stall that has a special queue inside Maxwell after all.Still, delicious food and great value. SGD 6 for my medium plate.",4.0,"Nov 14, 2023",2023
"Tian Tian Hainanese Chicken Rice was on my list of places to eat while in Singapore. It's located in the Maxwell Food Centre and is one of many chicken & rice stands found in Singapore. Not only is it a Michelin Bib Gourmand recognized food stand, it's also a spot where Anthony Bourdain frequented when he visited Singapore. We arrived after the lunch rush were the line was short. My husband grabbed a table while I went to order. I ordered the regular chicken rice for us to share, since I wasn't sure if we wanted to eat more elsewhere or not. They had utensils next to the trays. You queue up, pay in cash when you order, get your ticket, give your ticket to the pick-up window, and go sit down. It's pretty straight forward if you ask me. The chicken is piled on top of the rice and the chili sauce is on the side. When they serve it to you, they pour the brown sauce over the chicken and rice. I kind of wish they had given me more of that chili sauce because it really elevated the dish. The chicken was moist and the rice was flavorful. I was super happy with the dish. There's nothing more comforting than chicken & rice to me. My husband and I gobbled it up and we loved it so much, we went back for a second plate. So, I got back in line and paid for another plate. It was one of my favorite meals in Singapore to date. One thing to note, you need to bring your own napkins or tissues because they don't offer any to customers. Bring your own water bottle or pay for drinks at nearby stands. You and always wash your hands at the nearby restrooms.",5.0,"Oct 6, 2023",2023
"I seriously do not understand why Tian Tian is so overrated despite delivering below-average food and still rated high. Really wonder has anyone really tried a good Chicken rice or just saw the queue and lined up to satisfy the superficial notion.Really such a disappointment seeing such misleading ratings. There are far far better and much tastier options within the Maxwell foodcourt alone for Chicken Rice.My rating out of 5Chicken Quality: 2 / 5Rice Quality: 4 / 5Brown Sauce: 0.5 / 5Chicken Taste: 0.5 / 5Chilli Sauce: 3 / 5Availability of Sides: 1 / 5Service: 4 / 5. the queue moved fastWill I try again: NOWill I recommend anyone: NO, neverP.S: After trying the Tian Tian at Maxwell, all of us in my family had stomach-ache.",1.0,"Jul 15, 2023",2023
"We wanted to try this place as it was always crowded. I arrived at 1:30pm and there was a line up to the back of the food court. The line moved quick and I waited in line for about 10 mins.Steamed chicken rice (Large): the chicken was tender and the flavor was ok. The soy sauce was a delicious compliment to the chicken. The rice was my favorite part: succulent, flavorful and cooked perfectly. The sambal was delicious too. I wish that I could try the roasted version one as it was sold out. It was 3.5 stars for my liking.",4.0,"Jul 5, 2023",2023
Delicious chicken and riceNot too oily and rice had nice fragranceChicken was moist and not dry,4.0,"Apr 29, 2023",2023
"A Michelin Bib Gourmand, Tian Tian specializes in chicken rice and that's what everyone lines up for. If you have no idea where the stall is, just look for the one with the longest line. I mean this line went all the way out of the hawker center! Be smart about it and have just one person order for everyone while the rest look for more food and seating. The chicken itself wasn't that impressive but the rice was so good. There was just so much flavor in every bite. Its doesn't look like much, but it's cheap! I don't think it's worth the wait. You're better off trying other things if the line is crazy long.",4.0,"Feb 7, 2023",2023
"Dropped by Maxwell Center on a Monday at around 7:30 PM and Tian Tian was already closed. Luckily, this hawker center was within walking distance from our hotel, so we tried again on a Wednesday at around 9:30. It was open and there was no line! Jackpot!We ordered the large chicken rice and it was definitely the best Hainan chicken rice I've ever had. Granted, I've only ever had Hainan chicken rice at restaurants in the states, or making it myself at home (which is a pain to make), but still. The chicken was so tender and flavorful, and the rice was very fragrant. And the chili sauce...the chili sauce was *chef's kiss*. I would be happy just to eat the rice with the chili sauce and some cucumbers. My only regret is not making a return trip to Tian Tian. Totally worth the hype. Just make sure you go early to avoid the lines (which seems like it can get pretty long since they have line posts for crowd control), and in case they sell out quickly.",5.0,"Dec 9, 2022",2022
"I watched so many YouTube videos and made it one of the must stops this time in Singapore. It is located in the Maxwell Food Center - right across the street from the Buddha Tooth Relic Temple. I came around 11:40 am and the line to order was super long. I was waiting for at least about 35 minutes to 45 minutes until I got to order. My family and I ordered each a medium chicken and rice, a half chicken and a large bokchoy to share. About $60 total.The chicken was so amazing... super tender and juicy. The rice was a little let down from what I expected but still decent. One thing to note - not sure how many stood in line were locals?!? maybe more tourists ?! Since Anthony Bourdain came here before. There are some similar stalls selling the same dishes and the wait is much less.We got our drinks at different stalls in the food center. Bring your own napkins or tissues as they are hard to find.Overall it was a great visit! Definitely recommend if you are willing to wait for a bit!!!",4.0,"Jan 7, 2023",2023
"Yum! We had to stop by Tian Tian Chicken Rice on our recent trip to Singapore. This location is in the Maxwell Food Centre and it's easy to spot this hawker stall as there's always a line outside even when we came pretty early in the day.We only waited about 5 minutes and ended up getting half a chicken with half traditional hainanese chicken and half soy sauce chicken as we wanted to taste the combo and it only comes in a half chicken portion. Was about 16 Singaporean dollars for the meal.The chicken is tender and soft and great with the gravy that they pour on top. The real star of the show was the rice. Super fragrant and packed with a ton of flavor, you can eat the rice by itself and I'd say it's better than the chicken. If I went back I would order less chicken and another bowl rice as one was too little to share with another person.",5.0,"Nov 30, 2022",2022
"I love Hainan chicken but there are so few places to get it back home, so of course we had to try this Michelin Bib Gourmand stall!My favorite part was probably the rice which was super flavorful, but I didn't find the chicken to be anything special. I still think I prefer my favorite shop back home which has a delicious ginger sauce, but Tian Tian gives much larger portions for a fraction of the price.You'll definitely be getting your money's worth by coming here so I think it's still worth stopping by!",4.0,"Jan 23, 2023",2023
